Context,Questions,Decision,Answers_client,Answer_partner
Workflow Management,Business Module will be configured for each department and and workflows and forms will be designed/ defined under those business module for a particular department.,No,"Ultimus supports a ""family concept"" which can be used exctly for this approach - each department ""business modules"" can be defined and organized by this.",To be checked what is the purpose of this requirement - for sure we can solve their need here.
Workflow Management,The system must facilitate the user in choosing which pressing tasks need to be done and should present a clear picture of pending items sorted through different criteria in a dashboard. The user must be able to pick up which items require immediate attention. A friendly intuitive user interface with color coded symbols is preferable. ,No,The Ultimus DPA Portal provides dashboards which allows the requested task presentation and task organization.,Not all what they request can be configured in with standard parameters of Ultimus DPA Portal - but we can provide / compose such Dashboard and can seamless provide this as part of the DPA Portal !
Workflow Management,The form designer should also notifications to be configured within different steps or events related to the process flow. It should also allow periodic reminders to users on email and automatically remove the reminders once the concerned user has completed the required action. ,"No
","Notifications for different steps or events related to the process flow can be configured, incl. periodic reminders to users on email or as notification in the DPA Portal.",I am not sure how we could remove reminders sent by E-Mail ?!
Form Designer,The form designer or editor should ideally come with its own proprietary web browser environment. It should work in a thin client application. ,No,"Ultimus CPS Layout Editor is the visual form designer, working in latest web browsers.",
,,,,
Form Designer,It should be possible to define validations on input fields visually through the form designer. Validations could be comparisons or simples rule setting which could govern the overall routing of the forms or flow of the process. Rules could also result in prompting certain messages to users and blocking the flow of the process. ,No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",The CPS Layout Editor supports standard design functionality ! Enhanced requirements are composed in Ultimus CPS Compose using U# language.
Form Designer,A form template used to design a form should be reusable or modifiable to create more forms that can be used within different process flows.,No,"Form templates are done via Ultimus reusable Assets, allowing this requested functionality. ",
Form Designer,The form content editor/ form designer will support creation or designing of forms through drag and drop operations. The form designer should require zero or minimal code to create new forms.,No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",The CPS Layout Editor supports standard design functionality ! Enhanced requirements are composed in Ultimus CPS Compose using U# language.
Form Designer,A form in a workflow is defined as a set of data fields and attached documents. The form fields could be                                                                                                                 §  Output fields                                                                                                                            §  Input fields                                                                                                            Input fields with Reference data,No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",
Form Designer,"The workflow designer should support creation of visually appealing forms, should allow provision for segmenting different areas of the form with logical groupings of similar objects.",No,"Ultimus CPS Layout Editor is the visual form designer, supporting segmenting different areas of the form with logical groupings of similar objects.",
Form Designer,The system must always also keep the user informed by displaying a complete trail of the form. The trail of the form is something which will also be recorded as part of the audit trail. ,No,Audit Trail and Form History is core functionality of Ultimus.,
Form Designer,"Data collection within forms should support standard input types like,
Cut, Copy, Paste, Undo, Selections, 
	Word processing features in a editor element or control to compose documents in preferred templates like letter heads which can then be edited and signed and forwarded as documents.
	Insertion of tables, Insertion of Images, Insert Media, 
	Styling fonts, formatting features
	Insertion of row columns, viewing of table element properties                                                                         §  Text                                                                                                                                           §  Time                                                                                                                     §  Date in different formats                                                                                      §  Numbers                                                                                                              §  Image                                                                                                                          §  Document                                                                                                                       It should be possible to define most validation checks on the listed types in the form designer with minimal or no coding.                                              ",No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",The CPS Layout Editor supports standard design functionality ! Enhanced requirements are composed in Ultimus CPS Compose using U# language.
Form Designer,The form designer should operate on the principle of WYSWYG. A preview mode to ensure how the form will display after publishing it. ,No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",
Form Designer,The form designer must support a viewing mode during the authoring process. A toggling facility between design and code mode should be provided.,No,Ultimus CPS supports viewing mode at design time !,"In fact CPS Layout Editor is a WYSIWYG editor, CPS Composer provides this viewing mode !"
Form Designer,The content editor must produce valid HTML/ XHTML Code and provide the developers the capability to customize the code based on any unique requirement,No,"Ultimus CPS produce valid HTML code. Any customization is possible, but done on U# code level.","We do not allow ""after publish"" modifications. All needed customizations are done within CPS which then will generate valid HTML Forms."
Form Designer,"The form designer must also provide standard visual editor features like                                                                          Cut, Copy, Paste, Undo, Selections,                                                                            §  Insertion of tables, Insertion of Images, Insert Media,                                                       §  Styling fonts, formatting features                                                                          §  Insertion of row columns, viewing of table element properties                                                                                   §  Word processing features",No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",The CPS Layout Editor supports standard design functionality ! Enhanced requirements are composed in Ultimus CPS Compose using U# language.
Form Designer,The form designer to support Internationalization and compliance with support for multiple languages ,No,"Ultimus CPS Layout Editor is the visual form designer, supporting localization for any needed language, incl. R2L languages !",
Form Designer,The solution automatically manages new images and files added by the author and stores them within a dedicated repository or in this case the DMS module.,No,Image and file management is part of the solution.,"Ultimus supports image and file management, but it might need some extensions. DMS integration to be done !"
Form Designer,Any content stored in the DMS module if moved should maintain some link with the form designer and raise appropriate warnings within the system to Administrators. Any document referred from forms should not be deleted or if moved then the link should be updated. ,No,"DMS references are maintained, documents are marked as deleted, but will not be deleted.",DMS integration to be done !
Form Designer,The form editor allows objects to be contained or enclosed within other content objects according to predefined business rules and based on 'view rights' of end users.,No,This is handled by Ultimus CPS Assets concept !,The CPS Layout Editor supports standard design functionality ! Enhanced requirements are composed in Ultimus CPS Compose using U# language.
Form Designer,"The form editor supports content object relationships across different repositories, domains and content collections which may contain security permissions, and as such conceal these relationships from users/ process authors and designers who do not have permission.",No,Ultimus supports multiple repositories with ist own permissions.,At the moment CPS Layout Editor / Composer are working against 1 repository. BPM Studio supports multiple repositories.
Form Designer,The system must let the user operate on a form where the user is kept fully informed about the state of the form and what step or stage of the process the form is in. ,No,Process state and route and form state information are available for the user both textural and graphical.,
Form Designer,"The system must have the capability to display forms overall process route and states, preferably pictorially for a more friendly and informed experience for the user.",No,Process state and route and form state information are available for the user both textural and graphical.,
Form Designer,The form editor to provide a facility to view templates which allows the authors to preview which templates affect which forms designed within the system.,No,View template and preview templates is provided.,"This ""how changes of these used templates affect the system"" is a bit tricky !"
Form Designer,"The template editor environment is managed by the general security model of the system, e.g. rights and roles will dictate what templates are accessible for use and modification by certain authors depending on permissions.",No,"General security model of the system, e.g. rights and roles with related rights and permissions is available.",The general security model of the system is currently work-in-progress.
Form Designer,"The system should support controlling permissions and configuring access to form fields on a process level:                                                                                                 a.       Define users who can edit, view and access process templates                                                                          b.       Define which form fields are accessible by which participants                                                                                  c.       Define which tasks can be performed by which participants",No,This is part of the general security model.,See REQ_FD20
Form Designer,Form fields should be linkable to validation rules or business rules that maybe predefined in the system. Simple validation rules e.g. (Amount > 1000) or (Amount > Loan) should be easily configurable within the system through the visual interface. ,No,"Ultimus CPS Layout Editor is the visual form designer, supporting this requested functionality !",
Form Designer,Complex validations on form fields must be supported by writing scripts that can perform data or rule-based validations using the database or other integrated sources of data. ,No,Ultimus CPS is supporting this requested functionality !,
Form Designer,System must also provide a facility to quickly browse through the changes made by participant users through highlighting changes made by each.  ,No,Form History is core functionality of Ultimus allowing to view / browse this information.,We might need to extend the current form history presentation.
Form Designer,"A form field defined as document will require uploading of required documents. The system will facilitate uploading of common format documents like PDF, CSV, WORD, EXCEL, TXT",No,Ultimus supports document uploading of the listed file types.,
Form Designer,The system must also provide provision for uploading new reference documents into the document library through                                                                                 §  Scanning new documents                                                                                                              §  Attaching Existing Electronic documents,No,Uploading new reference documents into the document library through scanning and attaching is supported.,Can be composed …
Form Designer,Any new document provisioned into the system will be stored into the document library. Any form that has reached the logical end of workflow will assume the state of a document and will also be stored in document library. ,No,Handling of new document provisioned can be configured as requested.,Can be composed …
Form Designer,"A document once stored in the document library will have access control rights on it based on the user default profile and the overall security model. A user at the time of storage will also have the option of restricting access to document based on access roles, department or user hierarchy.",No,Handling of new document access rights can be configured as requested.,"The general security model of the system is currently work-in-progress.
Integrating the DMS into this security model needs to be done !"
Form Designer,The system must facilitate the user in choosing which pressing tasks need to be done and should present a clear picture of pending items sorted through different criteria in a dashboard. The user must be able to pick up which items require immediate attention. A friendly intuitive user interface with color coded symbols is preferable. ,No,A friendly intuitive user interface with color coded symbols is part of the system.,Can be composed …
Form Designer,The form designer should also notifications to be configured within different steps or events related to the process flow. It should also allow periodic reminders to users on email and automatically remove the reminders once the concerned user has completed the required action. ,"No
(Same as REQ_WF37)","Notifications for different steps or events related to the process flow can be configured, incl. periodic reminders to users on email or as notification in the DPA Portal.",I am not sure how we could remove reminders sent by E-Mail ?!
Document Management System,"Document management system module should function to help better manage the creation and flow of documents through databases and workflow engines that encapsulate metadata and business rules. 
Records management consists of creation, maintenance, and destruction of records. The life cycle of record management includes creation, distribution, storage and maintenance, retention, and archival which will be electronic documents in this case that are generated 
§  During process workflow by addition of word, excel, text files including all files supported and listed as supported by workflow module.
§  Scanned documents that are uploaded during process workflow
§  Reference documents that require uploading to a document library ",No,The Ultimus DMS Module is supporting this requested functionality!,"Ultimus CPS provides basic document handling as part of the Document Tab / Documents Slots.

A 3rd party DMS might need to be used to provide all the requested DMS features and functions. Once decision about best fitting DMS is taken, related UI components (e.g. search) and CPS Actions (e.g. store, etc.) can be provided."
Document Management System,"The document management module shall provide a Search utility so that the document management functions can be accessed from other modules like workflow management module e.g.
§  Search a document using options like name, metadata, contents
§  Retrieve, modify and delete a document
§  Access control provision and integration with other systems or modules
§  Preview a document as a picture
§  Metadata editor",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module captures electronic documents and passes them onto the process where they can be declared as a record.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS solution captures electronic documents directly from MS Office applications, Acrobat PDF, and either Lotus Notes or MS Outlook or the workflow part of the solution where forms with data entities are converted to documents for storage.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS as mentioned in requirements for the workflow module will be integrated with workflow management module and provides an integrated document and records management environment allowing heterogeneous files to be created, distributed, stored, retrieved, and archived.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS module captures all desired and required metadata to construct a file folder, document, and record profile",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module will manage the security of the document profiles(metadata) according to the overall security module. Only users with appropriate permissions can view profiles.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The Administration of documents should be possible through an Admin Panel ideally through a web interface which is also accessible remotely.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module allows documents and records stored within a file folder to automatically inherit nominated metadata elements from the file folder.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS shall hold metadata with multiple metadata models. Each document may use different models based on document type,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Documents could be linked to different meta data models so that each document can be described through varying models.  ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The user shall be able to record metadata for a document in a metadata editor defined by metadata models assigned to Document Class, and the metadata editor shall offer the correct metadata form given the document class. The document class in other words will provide default metadata settings which can be overridden by the user.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,It shall be possible to create a document without entering metadata. Files related to the document may be linked to metadata using default settings or later edited in the Metadata editor.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS shall provide a metadata editor which will provide a facility to entering and manipulating metadata linking to document files.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Common formats for storing documents must be supported
- PDF
- MS Office (Word, Powerpoint, Excel, Visio, Project)
- Emails
- CSV
- Image Files (GIF, TIFF, JPEG, BMP, RTF)
- HTML/ XML
- Common Video Formats",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module should also have the capability to launch the applications that are linked to their respective formats listed above.,No,The Ultimus DMS Module is supporting this requested functionality!,"Calling local applications from web files is a bit tricky. Microsoft can do this e.g. from teams in the web, but browser will throw a message that user can accept (once, forever), or reject."
Document Management System,"Every record should have a unique identifier protocol. Numeric, alphabet and combination of these. Unique identifiers of document should be pre-configured based on department requirements and any non-unique instances must be identified within the system. The DMS should possess the capability to generate unique identifier based on specific identifier criteria.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Extensive search capabilities must be supported using filters
§  Free text search using a search engine that indexes the content in the document database for efficient retrieval
§  Advanced search in meta data fields
§  Highlighting search fields 
§  Full text search in documents listed above tat include PDF, Word, Emails, Excel, CSV, HTML, XML
§  Barcode scan",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Display search results according to the incidence of search terms,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Ability to remember search settings and search settings as per the user profile,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The profile index update should take place in real-time and the queries for search should be optimized to run on database index. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,All search operations should be according to the integrated security model which should cover all system modules.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Complex searches should be saved with a unique identify so that they can selected to run as required without having to enter all the criteria elements again. The search elements hence can then be shared for general use and shared by the users. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Capability to manage compound documents. This is required when a form gets tagged with multiple reference documents or supporting evidences. The document overall will be stored within the DMS as a compound document where there is a parent document and a set of nested documents.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Ability to export compound documents should be supported where documents are supported as individual files to the chosen export area in a directory structure. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The compound documents must also consider the check-in and check-out status of individual documents within. The users should be helped track the check-out to concerned.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS module should provide the facility to import any file type and capable of performing bulk uploads. This routine saves and indexes each document during the bulk import process, and automatically sets up a minimal profile from predefined data.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The capability to map the existing metadata elements (if present) to the DMS metadata to automatically fill in some of the meta data fields e.g.

The DMS connects and imports data from external data sources and accepts user profile metadata from these external sources, and it creates or maintains user profiles.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module should allow to save documents to the system however it should be followed by warnings of making the document public. These functions can be restricted based on security policy. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The capability to import file structures as they are and create similar structure or map to a similar structure. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS should also provide a document conversion facility to convert documents into formats optimized for storage. It should also provide compression options when it comes to storing high resolution large files.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The document conversion facility would be utilized during import/ export functions of the document. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS should provide a tool to identify similar or same documents stored within the system based on the contents and metadata. The tool should ideally help the Administrators towards helping removing redundancy within the system.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS functionalities as listed under, should provide interfacing functions to other systems modules or external applications. This are essential functions for integration with the workflow module.
§  Search component
§  Store document
§  Metadata retrieval and editing functions
§  Document conversion facility
§  Storage/ Retrieval functions
§  Permission Settings
§  Document previews
§  Security model/ access control
The DMS module displays documents from within an external application when the documents are stored within it.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS must also support versioning and show history of document versions. The DMS automatically places all newly added documents under version control.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS provides check in / check out facility, preventing documents from being overwritten or deleted as documents are being updated.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,It should identify and record which authors have checked-in or checked-out documents including compound documents that contain nested documents.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS can automatically increase the version number of the document upon check in. Previous versions of documents are maintained by the system if a rollback is required.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Single file and batch check-in and check-outs of the document are to be provided. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Overall it should also be flexible, keeping update to all check-outs, provide users facility to simultaneously work and in case of parallel updates maintain different versions based on policy for such scenarios.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS should provide a preview facility. The preview of any document should also be accessible to other modules and systems ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module determines if the record being checked in has changed to confirm if a new version or release is required.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS supports a two-level version or release structure, whereby the user can specify whether the document being checked in is a new version of a new release.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Overall, many versions of the documents should be available for the Admin to delete unnecessary records while administering for similar documents. ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The module should also provide the capability to inherit the metadata elements for different document versions.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"By default, in any search the latest version of the document should be displayed with the option of viewing version history and old versions of document. ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"DMS shall account for an active storage area and facilitate the archival of documents. Both areas for storage have logical separation in terms of access controls, security, storage media with different application of controls.
The media for storage will also be separate, however any document archived should be retrievable from the same search panels or utilities. ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS should be able to operate on a single database which could be distributed. Support for cache, database partitions based on policy of confidentiality and sensitivity of data is required.  ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS will provide possibilities to store the same document in different formats and or with different data compressions. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS shall support printing of documents with the barcode identifiers representing each document uniquely. The barcode generation for each document for track and trace which should also include in a soft copy of the document.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,It is desirable to have a barcode scan with a handheld scanner for admins or auditors which would quickly direct them to complete history of the document source and description of workflow steps.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS should also facilitate Identification of documents through the bar code identifiers using the OCR function. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS will provide document level security on individual documents. The user profiles for access control residing on the Active Directory server will be accessed to restrict access controls. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The security and access controls should be configured in the DMS using a security policy. The DMS and WFMS require increased integration to operate on documents and must align with each other in terms of defining a synchronized security or access control functions to operate in tandem.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,It shall be possible to define document classes and categorizations to apply security related controls on a group or set of documents.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Integration with Scanner so that scanned documents are automatically uploaded into the DMS. The DMS to store documents after appropriate checks and definition of document attributes into the system.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The scanning process will require a utility to overall manage the scanning process to take users through scanning steps to ensure proper metadata entry of documents. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS module allocates or assigns a unique identification number to each page as it is scanned. The unique identification number can be captured as metadata associated with the document.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The solution allows scanned images to be viewed prior to storing. Documents can be rescanned if quality is unsatisfactory.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Provision for batch scanning of paper that combine to make up a document or set of documents based on chosen options. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,Automatic Optical Character Recognition and full text indexing of scans. The image scanning function should provide for reading typed documents and convert those into digital documents. ,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Integration with MS Office is desirable, documents scanned should be converted into a standard format that can be edited in mainstream editors specially MS Office suite. ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"A document that gets uploaded to the system will require a review by a Reviewer who will ensure the correctness of the document based on 
§  Metadata descriptions
§  Quality
§  Duplication ",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"All Administrative functionality can be accessed remotely using a web browser over the internet, or through the company’s LAN or WAN. SSL and VPN support further secure remote user and administrator access.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS must have a tool that checks server configuration and health settings to ensure the document repository is running properly and without errors. Warnings should be generated when storage capacity is reaching its limit.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The system administrator can centrally control how the system works for users. A system administrator can set the default value for the end users, which they may change, or the settings can be “enforced” meaning that the end users cannot modify the option.",No,The Ultimus DMS Module is supporting this requested functionality!,"Hmm, how is this related to DMS ? In fact we need to provide a central administration, which can be composed !"
Document Management System,The system allows the configuration of multiple balanced storage repositories to allow scalable growth.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS allows users to attach documents directly to outgoing e-mail using Microsoft Outlook using an API for external systems to use this functionality,No,The Ultimus DMS Module is supporting this requested functionality!,Integrating to Outlook using API - I am not sure whether this is the right approach !
Document Management System,"The DMS can import audio content files (MP3, wav, etc.) and launching appropriate media viewers for retrieval.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS has a mobile application client which allows users to access documents, add files, and approve and review workflow tasks using a smartphone or a tablet. The tablet functionality should be kept to essential tasks based on security model.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS provides adherence document and record naming conventions or standards. As documents are added to the library, they are automatically renamed according to the naming pattern determined by the Library Administrator",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS offers electronic signature management via workflow.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS allows users to subscribe to be notified of edits / changes / version updates to documents or folders they are watching.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"When an existing subscribed file is updated or a file is added to a folder, the user receives email notification that the change has occurred, who has changed it, and a secure link to directly access the document",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS can send notifications for documents when specific dates are met like a scheduled notification,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Retention polices for converting to a record, archiving, and deletion can be set on a document type and done automatically based on a determined date.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS allows navigational security, with multiple layers of user-definable security, to limit access at department, user, system, function, and document levels.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS has a role-based security model where access can be given to users from a level of read-only to system administration.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"The DMS can send secure links to documents directly to team members, partners, suppliers, or customers. File security is maintained as only authorized users can retrieve the file by using the link.",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The DMS allows administrators to block users from emailing a document as an attachment from the DMS.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,"Documents accidentally deleted by users (with delete permissions) can be easily recovered from a ""recycle bin"".",No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,No document should be physically deleted from the DMS repository. The deleted document should also exist and may only be purged based on the archival policy,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS1
Document Management System,The Digital Library will be available in offline mode in case of poor internet connectivity. The list of the documents in the system will be shown along with the case information. The system shall ensure that the updated list is always available for offline use.,No,The Ultimus DMS Module is supporting this requested functionality!,"Hmm, offline mode for web applications ?? Either we have a desktop app - but I am not sure whether a web app with offline mode makes sense.

Maybe request of ""old"" Lotus Notes users ??"
Document Management System,The system shall not restrict the usage of the system in case of internet issue while uploading files in the system; The system shall maintain a repository of documents to be uploaded/synchronized.,No,The Ultimus DMS Module is supporting this requested functionality!,See REQ_DMS84
Approval Hiererchies,"The system shall provide provisioning for definition of an approval hierarchy that can be attached to specific processes. The definition should be specified for the document workflow in terms of department, user roles down to specifying actual usernames. The hierarchy must adhere to certain policy rules and should be cross checked for validity each time an approval hierarchy is defined for a process.",No,Ultimus provides a approval hierarchy e.g. using Ultimus Organization Charts which allows to define the requested functionality.,Can be composed / defined within the related workflows …
Approval Hiererchies,The approval hierarchies must also support features like the ability to define if a certain approval type requires one or two step approval and verification.,No,Ultimus provides a approval hierarchy e.g. using Ultimus Organization Charts which allows to define the requested functionality.,Can be composed / defined within the related workflows …
Approval Hiererchies,It should also be possible to define the approvers or reviewers as user groups of a department,No,Ultimus provides a approval hierarchy e.g. using Ultimus Organization Charts which allows to define the requested functionality.,Can be composed / defined within the related workflows …
Approval Hiererchies,The system will also support features for temporary overrides to the approval hierarchy subject to override approval SOPs as defined per client requirements,No,Ultimus provides a approval hierarchy e.g. using Ultimus Organization Charts which allows to define the requested functionality.,Can be composed / defined within the related workflows …
Reports,"Ability to generate system resource level reports for Administration tasks which highlight the system performance statistics data daily on network, application and database level.",No,"Ultimus provides admin, system and resource level Reports.",Can be composed …
Reports,"System should provide a reporting tool to generate or create new reports that could be based on any user requested criteria. Overall, it should have the ability to produce customized reports through the reporting tool",No,"Ultimus Reporting Module has the ability to define, produce and generate customized reports based on user requested criteria.","Ultimus CPS provides basic reporting capabilities, but not such sophisticated reporting tool / report generator.

A 3rd party reporting module might need to be used to provide all the requested reporting features and functions. 

Alternatively a CPS based reporting module / generator can be created."
Reports,Reporting tool should support pictorial representation of data if required.,No,The Ultimus Reporting Module  is supporting this requested functionality!,"See REQ_REP2

"
Reports,"Generate a report listing details with outstanding actions for department managers, users, and Admins.",No,The Ultimus Reporting Module  is supporting this requested functionality!,"See REQ_REP2

"
Reports,Summary Dashboards in reporting module which display                                                      §  Summary Dashboards for users                                                                                §  Summary Dashboards for departments                                                                   §  Summary Dashboards for distinct processes                                                         §  Summary Dashboards for user groups                                                                              §  Summary Dashboards for top management                                                                    §  Track & Trace for Admins and auditors                                                                       §  Document library summary,No,The Ultimus Reporting Module  is supporting this requested functionality!,"See REQ_REP2
"
